Willy Guggenheim Varlin	Varlin	http://vocab.getty.edu/ulan/500008515	http://id.loc.gov/authorities/names/n83069535
Edgars Vardaunis	Vardaunis, Edgars	http://vocab.getty.edu/ulan/500177032
M. Vardaunis	Vardaunis, Edgars	http://vocab.getty.edu/ulan/500177032
M Vardaunis	Vardaunis, Edgars	http://vocab.getty.edu/ulan/500177032
M. Edgars Vardaunis	Vardaunis, Edgars	http://vocab.getty.edu/ulan/500177032
Vardaunis	Vardaunis, Edgars	http://vocab.getty.edu/ulan/500177032
M Edgars Vardaunis	Vardaunis, Edgars	http://vocab.getty.edu/ulan/500177032
E. Vardaunis	Vardaunis, Edgars	http://vocab.getty.edu/ulan/500177032
E Vardaunis	Vardaunis, Edgars	http://vocab.getty.edu/ulan/500177032
Vardaunis, Edgar Al'fredovič	Vardaunis, Edgars	http://vocab.getty.edu/ulan/500177032
Vardaunis, Edgar	Vardaunis, Edgars	http://vocab.getty.edu/ulan/500177032
Edgar Vardaunis	Vardaunis, Edgars	http://vocab.getty.edu/ulan/500177032
Nicola Verlato	Verlato, Nicola	http://vocab.getty.edu/ulan/500294229
N. Verlato	Verlato, Nicola	http://vocab.getty.edu/ulan/500294229
M. Nicola Verlato	Verlato, Nicola	http://vocab.getty.edu/ulan/500294229
M Nicola Verlato	Verlato, Nicola	http://vocab.getty.edu/ulan/500294229
N Verlato	Verlato, Nicola	http://vocab.getty.edu/ulan/500294229
Verlato	Verlato, Nicola	http://vocab.getty.edu/ulan/500294229
M Verlato	Verlato, Nicola	http://vocab.getty.edu/ulan/500294229
M. Verlato	Verlato, Nicola	http://vocab.getty.edu/ulan/500294229
Gerolamo Varese	Varese, Gerolamo	http://vocab.getty.edu/ulan/500177037
Varese	Varese, Gerolamo	http://vocab.getty.edu/ulan/500177037
G Varese	Varese, Gerolamo	http://vocab.getty.edu/ulan/500177037
M. Varese	Varese, Gerolamo	http://vocab.getty.edu/ulan/500177037
M. Gerolamo Varese	Varese, Gerolamo	http://vocab.getty.edu/ulan/500177037
G. Varese	Varese, Gerolamo	http://vocab.getty.edu/ulan/500177037
M Gerolamo Varese	Varese, Gerolamo	http://vocab.getty.edu/ulan/500177037
M Varese	Varese, Gerolamo	http://vocab.getty.edu/ulan/500177037
Joaquim de Vasconcelos	Vasconcelos, Joaquim de	http://vocab.getty.edu/ulan/500327475	http://id.loc.gov/authorities/names/n85295940
J De Vasconcelos	Vasconcelos, Joaquim de	http://vocab.getty.edu/ulan/500327475	http://id.loc.gov/authorities/names/n85295940
M Vasconcelos	Vasconcelos, Joaquim de	http://vocab.getty.edu/ulan/500327475	http://id.loc.gov/authorities/names/n85295940
J de Vasconcelos	Vasconcelos, Joaquim de	http://vocab.getty.edu/ulan/500327475	http://id.loc.gov/authorities/names/n85295940
M. Vasconcelos	Vasconcelos, Joaquim de	http://vocab.getty.edu/ulan/500327475	http://id.loc.gov/authorities/names/n85295940
J Vasconcelos	Vasconcelos, Joaquim de	http://vocab.getty.edu/ulan/500327475	http://id.loc.gov/authorities/names/n85295940
J. de Vasconcelos	Vasconcelos, Joaquim de	http://vocab.getty.edu/ulan/500327475	http://id.loc.gov/authorities/names/n85295940
M De Vasconcelos	Vasconcelos, Joaquim de	http://vocab.getty.edu/ulan/500327475	http://id.loc.gov/authorities/names/n85295940
