Martí Gadea, Joaquim	Martí y Gadea, Joaquín	http://datos.bne.es/resource/XX867704	http://viaf.org/viaf/34822396	http://d-nb.info/gnd/101492677
Martí Gadea, Joaquín	Martí y Gadea, Joaquín	http://datos.bne.es/resource/XX867704	http://viaf.org/viaf/34822396	http://d-nb.info/gnd/101492677
Mackey, James Patrick	Mackey, James Patrick	http://datos.bne.es/resource/XX1723142	http://viaf.org/viaf/2499615	http://d-nb.info/gnd/109822021
Montaigne	Montaigne	http://datos.bne.es/resource/XX1369979
Menezes, Manoel	Menezes, Manoel	http://datos.bne.es/resource/XX1692303
Meneses y Pedrosa, Fernando	Meneses y Pedrosa, Fernando	http://datos.bne.es/resource/XX1692300
Marrero	Marrero	http://datos.bne.es/resource/XX4432365
Montiano y Luyando, Agustín de	Montiano y Luyando, Agustín de	http://datos.bne.es/resource/XX930805	http://viaf.org/viaf/53320851	http://d-nb.info/gnd/138218072	http://dbpedia.org/resource/Agust%C3%ADn_de_Montiano_y_Luyando
Mata, Roberto	Mata, Roberto	http://datos.bne.es/resource/XX1055817	http://viaf.org/viaf/86658077
Mata Puente, Roberto	Mata, Roberto	http://datos.bne.es/resource/XX1055817	http://viaf.org/viaf/86658077
Mona	Mona	http://datos.bne.es/resource/XX1356464	http://viaf.org/viaf/87125106
Mayàns i Siscar, Juan Antonio	Mayàns i Siscar, Juan Antonio	http://datos.bne.es/resource/XX996549	http://viaf.org/viaf/821200	http://d-nb.info/gnd/119409771
Mayáns y Siscar, Juan Antonio	Mayàns i Siscar, Juan Antonio	http://datos.bne.es/resource/XX996549	http://viaf.org/viaf/821200	http://d-nb.info/gnd/119409771
Martín Delgado, José María	Martín Delgado, José María	http://datos.bne.es/resource/XX1074102	http://viaf.org/viaf/8649766
Matos y Guzmán, Francisco de	Matos y Guzmán, Francisco de	http://datos.bne.es/resource/XX1360647
Mondhare, M. S.	Mondhare, M. S.	http://datos.bne.es/resource/XX1396298
Menga, Domenico	Menga, Domenico	http://datos.bne.es/resource/XX1692305
Mengoli, Pietro	Mengoli, Pietro	http://datos.bne.es/resource/XX1692306
Mengotti, Francesco	Mengotti, Francesco	http://datos.bne.es/resource/XX1692307
McFeely, Mary Drake	McFeely, Mary Drake	http://datos.bne.es/resource/XX1128011	http://viaf.org/viaf/94877512
Martí Puig, Enrique	Martí Puig, Enrique	http://datos.bne.es/resource/XX1479575	http://viaf.org/viaf/87214357
Medvedenko, Analoliï Viktorovich	Medvedenko, Analoliï Viktorovich	http://datos.bne.es/resource/XX976916	http://viaf.org/viaf/186395655
Medvedenko, A.	Medvedenko, Analoliï Viktorovich	http://datos.bne.es/resource/XX976916	http://viaf.org/viaf/186395655
Mennens, Guilielmus	Mennens, Guilielmus	http://datos.bne.es/resource/XX1692315
Mennenius, Franciscus	Mennenius, Franciscus	http://datos.bne.es/resource/XX1692314
Monroy, Antonio	Monroy, Antonio	http://datos.bne.es/resource/XX1508999
McAlindon, T.	McAlindon, T.	http://datos.bne.es/resource/XX1008086	http://viaf.org/viaf/49264552	http://d-nb.info/gnd/123890373
Meniata, Helias	Meniata, Helias	http://datos.bne.es/resource/XX1692311
May, Robin	May, Robin	http://datos.bne.es/resource/XX1086176	http://viaf.org/viaf/20231893	http://d-nb.info/gnd/108758400
