A. (Liverpool) Y.	Y., A. (Liverpool)	http://vocab.getty.edu/ulan/500370050
L. J. Yperman	Yperman, Louis Joseph	http://vocab.getty.edu/ulan/500099669
M Young	Young	http://vocab.getty.edu/ulan/500370073
Young	Young	http://vocab.getty.edu/ulan/500370073
M. Young	Young	http://vocab.getty.edu/ulan/500370073
Yablonskaya, Tat'yana	Yablonskaya, Tat' yana.	http://vocab.getty.edu/ulan/500028477	http://id.loc.gov/authorities/names/n81024498
Tat'yana. Yablonskaya	Yablonskaya, Tat' yana.	http://vocab.getty.edu/ulan/500028477	http://id.loc.gov/authorities/names/n81024498
Yablonskaya	Yablonskaya, Tat' yana.	http://vocab.getty.edu/ulan/500028477	http://id.loc.gov/authorities/names/n81024498
T. Yablonskaya	Yablonskaya, Tat' yana.	http://vocab.getty.edu/ulan/500028477	http://id.loc.gov/authorities/names/n81024498
Mme. Tat'yana. Yablonskaya	Yablonskaya, Tat' yana.	http://vocab.getty.edu/ulan/500028477	http://id.loc.gov/authorities/names/n81024498
Mme Tat'yana. Yablonskaya	Yablonskaya, Tat' yana.	http://vocab.getty.edu/ulan/500028477	http://id.loc.gov/authorities/names/n81024498
Mme. Yablonskaya	Yablonskaya, Tat' yana.	http://vocab.getty.edu/ulan/500028477	http://id.loc.gov/authorities/names/n81024498
T Yablonskaya	Yablonskaya, Tat' yana.	http://vocab.getty.edu/ulan/500028477	http://id.loc.gov/authorities/names/n81024498
Mme Yablonskaya	Yablonskaya, Tat' yana.	http://vocab.getty.edu/ulan/500028477	http://id.loc.gov/authorities/names/n81024498
Fei Ye	Ye, Fei	http://vocab.getty.edu/ulan/500288194
M Fei Ye	Ye, Fei	http://vocab.getty.edu/ulan/500288194
M. Fei Ye	Ye, Fei	http://vocab.getty.edu/ulan/500288194
F Ye	Ye, Fei	http://vocab.getty.edu/ulan/500288194
M. Ye	Ye, Fei	http://vocab.getty.edu/ulan/500288194
F. Ye	Ye, Fei	http://vocab.getty.edu/ulan/500288194
Ye	Ye, Fei	http://vocab.getty.edu/ulan/500288194
M Ye	Ye, Fei	http://vocab.getty.edu/ulan/500288194
Shigenobu Yoshida	Yoshida, Shigenobu	http://vocab.getty.edu/ulan/500272601
M Shigenobu Yoshida	Yoshida, Shigenobu	http://vocab.getty.edu/ulan/500272601
S Yoshida	Yoshida, Shigenobu	http://vocab.getty.edu/ulan/500272601
Yoshida	Yoshida, Shigenobu	http://vocab.getty.edu/ulan/500272601
M. Shigenobu Yoshida	Yoshida, Shigenobu	http://vocab.getty.edu/ulan/500272601
M Yoshida	Yoshida, Shigenobu	http://vocab.getty.edu/ulan/500272601
S. Yoshida	Yoshida, Shigenobu	http://vocab.getty.edu/ulan/500272601
M. Yoshida	Yoshida, Shigenobu	http://vocab.getty.edu/ulan/500272601
Dr. Young	Young, Dr.	http://vocab.getty.edu/ulan/500370076
M Young	Young, Dr.	http://vocab.getty.edu/ulan/500370076
D Young	Young, Dr.	http://vocab.getty.edu/ulan/500370076
Young	Young, Dr.	http://vocab.getty.edu/ulan/500370076
M. Dr. Young	Young, Dr.	http://vocab.getty.edu/ulan/500370076
D. Young	Young, Dr.	http://vocab.getty.edu/ulan/500370076
M. Young	Young, Dr.	http://vocab.getty.edu/ulan/500370076
M Dr. Young	Young, Dr.	http://vocab.getty.edu/ulan/500370076
Zhao Yang	Yang, Zhao	http://vocab.getty.edu/ulan/500288190
Z. Yang	Yang, Zhao	http://vocab.getty.edu/ulan/500288190
M Yang	Yang, Zhao	http://vocab.getty.edu/ulan/500288190
M Zhao Yang	Yang, Zhao	http://vocab.getty.edu/ulan/500288190
Z Yang	Yang, Zhao	http://vocab.getty.edu/ulan/500288190
M. Zhao Yang	Yang, Zhao	http://vocab.getty.edu/ulan/500288190
Yang	Yang, Zhao	http://vocab.getty.edu/ulan/500288190
M. Yang	Yang, Zhao	http://vocab.getty.edu/ulan/500288190
Ryo Yamada	Yamada, Ryo	http://vocab.getty.edu/ulan/500271758
Yamada	Yamada, Ryo	http://vocab.getty.edu/ulan/500271758
M Ryo Yamada	Yamada, Ryo	http://vocab.getty.edu/ulan/500271758
M. Yamada	Yamada, Ryo	http://vocab.getty.edu/ulan/500271758
R Yamada	Yamada, Ryo	http://vocab.getty.edu/ulan/500271758
M Yamada	Yamada, Ryo	http://vocab.getty.edu/ulan/500271758
M. Ryo Yamada	Yamada, Ryo	http://vocab.getty.edu/ulan/500271758
R. Yamada	Yamada, Ryo	http://vocab.getty.edu/ulan/500271758
Manabu Yamanaka	Yamanaka, Manabu	http://vocab.getty.edu/ulan/500329824
Yamanaka	Yamanaka, Manabu	http://vocab.getty.edu/ulan/500329824
M Manabu Yamanaka	Yamanaka, Manabu	http://vocab.getty.edu/ulan/500329824
M Yamanaka	Yamanaka, Manabu	http://vocab.getty.edu/ulan/500329824
M. Yamanaka	Yamanaka, Manabu	http://vocab.getty.edu/ulan/500329824
M. Manabu Yamanaka	Yamanaka, Manabu	http://vocab.getty.edu/ulan/500329824
Tetsurō Yoshida	Yoshida, Tetsurō	http://vocab.getty.edu/ulan/500121408	http://id.loc.gov/authorities/names/n81061952
M. Tetsurō Yoshida	Yoshida, Tetsurō	http://vocab.getty.edu/ulan/500121408	http://id.loc.gov/authorities/names/n81061952
T. Yoshida	Yoshida, Tetsurō	http://vocab.getty.edu/ulan/500121408	http://id.loc.gov/authorities/names/n81061952
Yoshida	Yoshida, Tetsurō	http://vocab.getty.edu/ulan/500121408	http://id.loc.gov/authorities/names/n81061952
M Tetsurō Yoshida	Yoshida, Tetsurō	http://vocab.getty.edu/ulan/500121408	http://id.loc.gov/authorities/names/n81061952
M Yoshida	Yoshida, Tetsurō	http://vocab.getty.edu/ulan/500121408	http://id.loc.gov/authorities/names/n81061952
T Yoshida	Yoshida, Tetsurō	http://vocab.getty.edu/ulan/500121408	http://id.loc.gov/authorities/names/n81061952
M. Yoshida	Yoshida, Tetsurō	http://vocab.getty.edu/ulan/500121408	http://id.loc.gov/authorities/names/n81061952
Susan Yamagata	Yamagata, Susan	http://vocab.getty.edu/ulan/500116060
Mme. Susan Yamagata	Yamagata, Susan	http://vocab.getty.edu/ulan/500116060
Mme Susan Yamagata	Yamagata, Susan	http://vocab.getty.edu/ulan/500116060
Mme. Yamagata	Yamagata, Susan	http://vocab.getty.edu/ulan/500116060
S Yamagata	Yamagata, Susan	http://vocab.getty.edu/ulan/500116060
S. Yamagata	Yamagata, Susan	http://vocab.getty.edu/ulan/500116060
Mme Yamagata	Yamagata, Susan	http://vocab.getty.edu/ulan/500116060
Yamagata	Yamagata, Susan	http://vocab.getty.edu/ulan/500116060
Harold Young	Young, Harold	http://vocab.getty.edu/ulan/500182849
