Εὐάγριος ὁ Σχολαστικός	Evagre le Scolastique, 	http://data.bnf.fr/ark:/12148/cb132060638#foaf:Person	http://www.idref.fr/067069657
Évagre	Evagre le Scolastique, 	http://data.bnf.fr/ark:/12148/cb132060638#foaf:Person	http://www.idref.fr/067069657
Evagre le Scholastique	Evagre le Scolastique, 	http://data.bnf.fr/ark:/12148/cb132060638#foaf:Person	http://www.idref.fr/067069657
Eu̓ágrios	Evagre le Scolastique, 	http://data.bnf.fr/ark:/12148/cb132060638#foaf:Person	http://www.idref.fr/067069657
Εὐάγριος Σχολαστικός	Evagre le Scolastique, 	http://data.bnf.fr/ark:/12148/cb132060638#foaf:Person	http://www.idref.fr/067069657
Évagre le Scolastique	Evagre le Scolastique, 	http://data.bnf.fr/ark:/12148/cb132060638#foaf:Person	http://www.idref.fr/067069657
Eu̓ágrios ho Scholastikós	Evagre le Scolastique, 	http://data.bnf.fr/ark:/12148/cb132060638#foaf:Person	http://www.idref.fr/067069657
Εὐάγριος	Evagre le Scolastique, 	http://data.bnf.fr/ark:/12148/cb132060638#foaf:Person	http://www.idref.fr/067069657
Reeves Eason	Eason, B. Reeves (1886-1956)	http://data.bnf.fr/ark:/12148/cb14677946p#foaf:Person	http://dbpedia.org/resource/William_Reeves_Easton	http://www.idref.fr/078810752
B. Reeves Eason	Eason, B. Reeves (1886-1956)	http://data.bnf.fr/ark:/12148/cb14677946p#foaf:Person	http://dbpedia.org/resource/William_Reeves_Easton	http://www.idref.fr/078810752
Eason	Eason, B. Reeves (1886-1956)	http://data.bnf.fr/ark:/12148/cb14677946p#foaf:Person	http://dbpedia.org/resource/William_Reeves_Easton	http://www.idref.fr/078810752
B R Eason	Eason, B. Reeves (1886-1956)	http://data.bnf.fr/ark:/12148/cb14677946p#foaf:Person	http://dbpedia.org/resource/William_Reeves_Easton	http://www.idref.fr/078810752
B. R. Eason	Eason, B. Reeves (1886-1956)	http://data.bnf.fr/ark:/12148/cb14677946p#foaf:Person	http://dbpedia.org/resource/William_Reeves_Easton	http://www.idref.fr/078810752
M Eason	Eason, B. Reeves (1886-1956)	http://data.bnf.fr/ark:/12148/cb14677946p#foaf:Person	http://dbpedia.org/resource/William_Reeves_Easton	http://www.idref.fr/078810752
M B. Reeves Eason	Eason, B. Reeves (1886-1956)	http://data.bnf.fr/ark:/12148/cb14677946p#foaf:Person	http://dbpedia.org/resource/William_Reeves_Easton	http://www.idref.fr/078810752
M. Eason	Eason, B. Reeves (1886-1956)	http://data.bnf.fr/ark:/12148/cb14677946p#foaf:Person	http://dbpedia.org/resource/William_Reeves_Easton	http://www.idref.fr/078810752
M. B. Reeves Eason	Eason, B. Reeves (1886-1956)	http://data.bnf.fr/ark:/12148/cb14677946p#foaf:Person	http://dbpedia.org/resource/William_Reeves_Easton	http://www.idref.fr/078810752
Breezy Eason	Eason, B. Reeves (1886-1956)	http://data.bnf.fr/ark:/12148/cb14677946p#foaf:Person	http://dbpedia.org/resource/William_Reeves_Easton	http://www.idref.fr/078810752
László Erdélyi	Erdélyi, László (1868-1947)	http://data.bnf.fr/ark:/12148/cb12753808c#foaf:Person
Erdélyi	Erdélyi, László (1868-1947)	http://data.bnf.fr/ark:/12148/cb12753808c#foaf:Person
L Erdélyi	Erdélyi, László (1868-1947)	http://data.bnf.fr/ark:/12148/cb12753808c#foaf:Person
L. Erdélyi	Erdélyi, László (1868-1947)	http://data.bnf.fr/ark:/12148/cb12753808c#foaf:Person
M Erdélyi	Erdélyi, László (1868-1947)	http://data.bnf.fr/ark:/12148/cb12753808c#foaf:Person
M László Erdélyi	Erdélyi, László (1868-1947)	http://data.bnf.fr/ark:/12148/cb12753808c#foaf:Person
M. Erdélyi	Erdélyi, László (1868-1947)	http://data.bnf.fr/ark:/12148/cb12753808c#foaf:Person
M. László Erdélyi	Erdélyi, László (1868-1947)	http://data.bnf.fr/ark:/12148/cb12753808c#foaf:Person
Jean-Étienne-Dominique Esquirol	Esquirol, Étienne (1772-1840)	http://data.bnf.fr/ark:/12148/cb119019299#foaf:Person	http://dbpedia.org/resource/Jean-Étienne_Esquirol	http://www.idref.fr/026853655
Étienne Esquirol	Esquirol, Étienne (1772-1840)	http://data.bnf.fr/ark:/12148/cb119019299#foaf:Person	http://dbpedia.org/resource/Jean-Étienne_Esquirol	http://www.idref.fr/026853655
Esquirol	Esquirol, Étienne (1772-1840)	http://data.bnf.fr/ark:/12148/cb119019299#foaf:Person	http://dbpedia.org/resource/Jean-Étienne_Esquirol	http://www.idref.fr/026853655
É Esquirol	Esquirol, Étienne (1772-1840)	http://data.bnf.fr/ark:/12148/cb119019299#foaf:Person	http://dbpedia.org/resource/Jean-Étienne_Esquirol	http://www.idref.fr/026853655
É. Esquirol	Esquirol, Étienne (1772-1840)	http://data.bnf.fr/ark:/12148/cb119019299#foaf:Person	http://dbpedia.org/resource/Jean-Étienne_Esquirol	http://www.idref.fr/026853655
M Esquirol	Esquirol, Étienne (1772-1840)	http://data.bnf.fr/ark:/12148/cb119019299#foaf:Person	http://dbpedia.org/resource/Jean-Étienne_Esquirol	http://www.idref.fr/026853655
M Étienne Esquirol	Esquirol, Étienne (1772-1840)	http://data.bnf.fr/ark:/12148/cb119019299#foaf:Person	http://dbpedia.org/resource/Jean-Étienne_Esquirol	http://www.idref.fr/026853655
M. Esquirol	Esquirol, Étienne (1772-1840)	http://data.bnf.fr/ark:/12148/cb119019299#foaf:Person	http://dbpedia.org/resource/Jean-Étienne_Esquirol	http://www.idref.fr/026853655
