M Quercy	Quercy, Jean (1874-1965)	http://data.bnf.fr/ark:/12148/cb107281151#foaf:Person
M Jean Quercy	Quercy, Jean (1874-1965)	http://data.bnf.fr/ark:/12148/cb107281151#foaf:Person
M. Quercy	Quercy, Jean (1874-1965)	http://data.bnf.fr/ark:/12148/cb107281151#foaf:Person
M. Jean Quercy	Quercy, Jean (1874-1965)	http://data.bnf.fr/ark:/12148/cb107281151#foaf:Person
Denis-Bernard Quatremere Dijonval	Quatremere Disjonval, Denis Bernard (1754-1830)	http://data.bnf.fr/ark:/12148/cb124009149#foaf:Person	http://www.idref.fr/033109508
Denis Bernard Quatremere Disjonval	Quatremere Disjonval, Denis Bernard (1754-1830)	http://data.bnf.fr/ark:/12148/cb124009149#foaf:Person	http://www.idref.fr/033109508
Quatremere Disjonval	Quatremere Disjonval, Denis Bernard (1754-1830)	http://data.bnf.fr/ark:/12148/cb124009149#foaf:Person	http://www.idref.fr/033109508
D B Quatremere Disjonval	Quatremere Disjonval, Denis Bernard (1754-1830)	http://data.bnf.fr/ark:/12148/cb124009149#foaf:Person	http://www.idref.fr/033109508
D. B. Quatremere Disjonval	Quatremere Disjonval, Denis Bernard (1754-1830)	http://data.bnf.fr/ark:/12148/cb124009149#foaf:Person	http://www.idref.fr/033109508
M Quatremere Disjonval	Quatremere Disjonval, Denis Bernard (1754-1830)	http://data.bnf.fr/ark:/12148/cb124009149#foaf:Person	http://www.idref.fr/033109508
M Denis Bernard Quatremere Disjonval	Quatremere Disjonval, Denis Bernard (1754-1830)	http://data.bnf.fr/ark:/12148/cb124009149#foaf:Person	http://www.idref.fr/033109508
M. Quatremere Disjonval	Quatremere Disjonval, Denis Bernard (1754-1830)	http://data.bnf.fr/ark:/12148/cb124009149#foaf:Person	http://www.idref.fr/033109508
M. Denis Bernard Quatremere Disjonval	Quatremere Disjonval, Denis Bernard (1754-1830)	http://data.bnf.fr/ark:/12148/cb124009149#foaf:Person	http://www.idref.fr/033109508
Denis-Bernard Dijonval	Quatremere Disjonval, Denis Bernard (1754-1830)	http://data.bnf.fr/ark:/12148/cb124009149#foaf:Person	http://www.idref.fr/033109508
Denis-Bernard Disjonval	Quatremere Disjonval, Denis Bernard (1754-1830)	http://data.bnf.fr/ark:/12148/cb124009149#foaf:Person	http://www.idref.fr/033109508
Quatremere Dijonval	Quatremere Disjonval, Denis Bernard (1754-1830)	http://data.bnf.fr/ark:/12148/cb124009149#foaf:Person	http://www.idref.fr/033109508
