Brunon Bendig	Brunon Bendig	http://fr.dbpedia.org/resource/Brunon_Bendig	http://dbpedia.org/resource/Brunon_Bendig
Bob Corkum	Bob Corkum	http://fr.dbpedia.org/resource/Bob_Corkum	http://dbpedia.org/resource/Bob_Corkum
Belem Guerrero	Belem Guerrero	http://fr.dbpedia.org/resource/Belem_Guerrero	http://dbpedia.org/resource/Belem_Guerrero
Belem Guerrero Mendez	Belem Guerrero	http://fr.dbpedia.org/resource/Belem_Guerrero	http://dbpedia.org/resource/Belem_Guerrero
Belem Guerrero Méndez	Belem Guerrero	http://fr.dbpedia.org/resource/Belem_Guerrero	http://dbpedia.org/resource/Belem_Guerrero
Benny Engelbrecht	Benny Engelbrecht	http://fr.dbpedia.org/resource/Benny_Engelbrecht
Bernie Shaw	Bernie Shaw	http://fr.dbpedia.org/resource/Bernie_Shaw	http://dbpedia.org/resource/Bernie_Shaw
Bedük	Bedük	http://fr.dbpedia.org/resource/Bedük	http://dbpedia.org/resource/Bedük
Brenda Phillips	Brenda Phillips	http://fr.dbpedia.org/resource/Brenda_Phillips	http://dbpedia.org/resource/Brenda_Phillips
Bazilio Olara Okello	Bazilio Olara Okello	http://fr.dbpedia.org/resource/Bazilio_Olara_Okello	http://dbpedia.org/resource/Bazilio_Olara-Okello
Ben Chifley	Ben Chifley	http://fr.dbpedia.org/resource/Ben_Chifley	http://dbpedia.org/resource/Ben_Chifley
Bernard Lecomte (écrivain)	Bernard Lecomte (écrivain)	http://fr.dbpedia.org/resource/Bernard_Lecomte_(écrivain)
Bernard Lecomte	Bernard Lecomte (écrivain)	http://fr.dbpedia.org/resource/Bernard_Lecomte_(écrivain)
Bernard lecomte	Bernard Lecomte (écrivain)	http://fr.dbpedia.org/resource/Bernard_Lecomte_(écrivain)
Ben l'Oncle Soul	Ben l' Oncle Soul	http://fr.dbpedia.org/resource/Ben_l'Oncle_Soul	http://dbpedia.org/resource/Ben_l'Oncle_Soul
Ben l'oncle soul	Ben l' Oncle Soul	http://fr.dbpedia.org/resource/Ben_l'Oncle_Soul	http://dbpedia.org/resource/Ben_l'Oncle_Soul
Ben l’Oncle Soul	Ben l' Oncle Soul	http://fr.dbpedia.org/resource/Ben_l'Oncle_Soul	http://dbpedia.org/resource/Ben_l'Oncle_Soul
Oncle Ben	Ben l' Oncle Soul	http://fr.dbpedia.org/resource/Ben_l'Oncle_Soul	http://dbpedia.org/resource/Ben_l'Oncle_Soul
Burr Redding	Burr Redding	http://fr.dbpedia.org/resource/Burr_Redding	http://dbpedia.org/resource/Burr_Redding
Brayden McNabb	Brayden McNabb	http://fr.dbpedia.org/resource/Brayden_McNabb	http://dbpedia.org/resource/Brayden_McNabb
Brandon McMillan	Brandon McMillan	http://fr.dbpedia.org/resource/Brandon_McMillan	http://dbpedia.org/resource/Brandon_McMillan
Bianca Comparato	Bianca Comparato	http://fr.dbpedia.org/resource/Bianca_Comparato	http://dbpedia.org/resource/Bianca_Comparato
Benoît Poelvoorde	Benoît Poelvoorde	http://fr.dbpedia.org/resource/Benoît_Poelvoorde	http://dbpedia.org/resource/Benoît_Poelvoorde
Benoit Poelvoorde	Benoît Poelvoorde	http://fr.dbpedia.org/resource/Benoît_Poelvoorde	http://dbpedia.org/resource/Benoît_Poelvoorde
Benoît Poelvorde	Benoît Poelvoorde	http://fr.dbpedia.org/resource/Benoît_Poelvoorde	http://dbpedia.org/resource/Benoît_Poelvoorde
Bill Berry (basket-ball)	Bill Berry (basket ball)	http://fr.dbpedia.org/resource/Bill_Berry_(basket-ball)	http://dbpedia.org/resource/Bill_Berry_(basketball)
Boris Shilkov	Boris Shilkov	http://fr.dbpedia.org/resource/Boris_Shilkov	http://dbpedia.org/resource/Boris_Shilkov
Bob Falkenburg	Bob Falkenburg	http://fr.dbpedia.org/resource/Bob_Falkenburg	http://dbpedia.org/resource/Bob_Falkenburg
Bob falkenburg	Bob Falkenburg	http://fr.dbpedia.org/resource/Bob_Falkenburg	http://dbpedia.org/resource/Bob_Falkenburg
Robert Falkenburg	Bob Falkenburg	http://fr.dbpedia.org/resource/Bob_Falkenburg	http://dbpedia.org/resource/Bob_Falkenburg
Bernard Stora	Bernard Stora	http://fr.dbpedia.org/resource/Bernard_Stora
Buster (Winnie l'ourson)	Buster (Winnie l' ourson)	http://fr.dbpedia.org/resource/Buster_(Winnie_l'ourson)
Bernardo Tengarrinha	Bernardo Tengarrinha	http://fr.dbpedia.org/resource/Bernardo_Tengarrinha	http://dbpedia.org/resource/Bernardo_Tengarrinha
Bernardo David Mendes Salgueiro Campos	Bernardo Tengarrinha	http://fr.dbpedia.org/resource/Bernardo_Tengarrinha	http://dbpedia.org/resource/Bernardo_Tengarrinha
Bernardo David Mendes Salgueiro Campos Tengarrinha	Bernardo Tengarrinha	http://fr.dbpedia.org/resource/Bernardo_Tengarrinha	http://dbpedia.org/resource/Bernardo_Tengarrinha
Bryan Bulaga	Bryan Bulaga	http://fr.dbpedia.org/resource/Bryan_Bulaga	http://dbpedia.org/resource/Bryan_Bulaga
Børre Næss	Børre Næss	http://fr.dbpedia.org/resource/Børre_Næss	http://dbpedia.org/resource/Børre_Næss
Boerre Naess	Børre Næss	http://fr.dbpedia.org/resource/Børre_Næss	http://dbpedia.org/resource/Børre_Næss
Boutros Boutros-Ghali	Boutros Boutros Ghali	http://fr.dbpedia.org/resource/Boutros_Boutros-Ghali	http://dbpedia.org/resource/Boutros_Boutros-Ghali
Boutros-Ghali	Boutros Boutros Ghali	http://fr.dbpedia.org/resource/Boutros_Boutros-Ghali	http://dbpedia.org/resource/Boutros_Boutros-Ghali
Benjamin Darbelet	Benjamin Darbelet	http://fr.dbpedia.org/resource/Benjamin_Darbelet	http://dbpedia.org/resource/Benjamin_Darbelet
Bosko	Bosko	http://fr.dbpedia.org/resource/Bosko	http://dbpedia.org/resource/Bosko
Bobby Jack Oliver	Bobby Jack Oliver	http://fr.dbpedia.org/resource/Bobby_Jack_Oliver	http://dbpedia.org/resource/Bobby_Jack_Oliver
Bonaventura Gazzola	Bonaventura Gazzola	http://fr.dbpedia.org/resource/Bonaventura_Gazzola
Bonaventura Gazola	Bonaventura Gazzola	http://fr.dbpedia.org/resource/Bonaventura_Gazzola
Brian Bass	Brian Bass	http://fr.dbpedia.org/resource/Brian_Bass	http://dbpedia.org/resource/Brian_Bass
Basim	Basim	http://fr.dbpedia.org/resource/Basim	http://dbpedia.org/resource/Basim_(singer)
Byron Ritchie	Byron Ritchie	http://fr.dbpedia.org/resource/Byron_Ritchie	http://dbpedia.org/resource/Byron_Ritchie
Bruno Verges	Bruno Verges	http://fr.dbpedia.org/resource/Bruno_Verges	http://dbpedia.org/resource/Bruno_Verges
Brandon Heath (chanteur)	Brandon Heath (chanteur)	http://fr.dbpedia.org/resource/Brandon_Heath_(chanteur)	http://dbpedia.org/resource/Brandon_Heath
