Ulisse Aldrovandi	Ulisse Aldrovandi	http://fr.dbpedia.org/resource/Ulisse_Aldrovandi	http://dbpedia.org/resource/Ulisse_Aldrovandi
Ulysse Aldrovandi	Ulisse Aldrovandi	http://fr.dbpedia.org/resource/Ulisse_Aldrovandi	http://dbpedia.org/resource/Ulisse_Aldrovandi
Unax Ugalde	Unax Ugalde	http://fr.dbpedia.org/resource/Unax_Ugalde	http://dbpedia.org/resource/Unax_Ugalde
Uwe-Jens Mey	Uwe Jens Mey	http://fr.dbpedia.org/resource/Uwe-Jens_Mey	http://dbpedia.org/resource/Uwe-Jens_Mey
Ulrike Lunacek	Ulrike Lunacek	http://fr.dbpedia.org/resource/Ulrike_Lunacek	http://dbpedia.org/resource/Ulrike_Lunacek
Usaburo Hidaka	Usaburo Hidaka	http://fr.dbpedia.org/resource/Usaburo_Hidaka	http://dbpedia.org/resource/Usaburo_Hidaka
Ugo Frigerio	Ugo Frigerio	http://fr.dbpedia.org/resource/Ugo_Frigerio	http://dbpedia.org/resource/Ugo_Frigerio
Urs Kälin	Urs Kälin	http://fr.dbpedia.org/resource/Urs_Kälin	http://dbpedia.org/resource/Urs_Kälin
Urs Kaelin	Urs Kälin	http://fr.dbpedia.org/resource/Urs_Kälin	http://dbpedia.org/resource/Urs_Kälin
Urs Kalin	Urs Kälin	http://fr.dbpedia.org/resource/Urs_Kälin	http://dbpedia.org/resource/Urs_Kälin
Urbano Santos da Costa Araújo	Urbano Santos da Costa Araújo	http://fr.dbpedia.org/resource/Urbano_Santos_da_Costa_Araújo	http://dbpedia.org/resource/Urbano_Santos_da_Costa_Araújo
Urbano Santos da Costa Araujo	Urbano Santos da Costa Araújo	http://fr.dbpedia.org/resource/Urbano_Santos_da_Costa_Araújo	http://dbpedia.org/resource/Urbano_Santos_da_Costa_Araújo
Urbano santos da costa araújo	Urbano Santos da Costa Araújo	http://fr.dbpedia.org/resource/Urbano_Santos_da_Costa_Araújo	http://dbpedia.org/resource/Urbano_Santos_da_Costa_Araújo
Ulrich Goll	Ulrich Goll	http://fr.dbpedia.org/resource/Ulrich_Goll
Ulderico Carpegna	Ulderico Carpegna	http://fr.dbpedia.org/resource/Ulderico_Carpegna	http://dbpedia.org/resource/Ulderico_Carpegna
Ugo Rolandi	Ugo Rolandi	http://fr.dbpedia.org/resource/Ugo_Rolandi
Ulysse Alexandre Toussaint	Ulysse Alexandre Toussaint	http://fr.dbpedia.org/resource/Ulysse_Alexandre_Toussaint
Ulla-Maj Wideroos	Ulla Maj Wideroos	http://fr.dbpedia.org/resource/Ulla-Maj_Wideroos	http://dbpedia.org/resource/Ulla-Maj_Wideroos
Ulf Findeisen	Ulf Findeisen	http://fr.dbpedia.org/resource/Ulf_Findeisen	http://dbpedia.org/resource/Ulf_Findeisen
Ursina Lardi	Ursina Lardi	http://fr.dbpedia.org/resource/Ursina_Lardi	http://dbpedia.org/resource/Ursina_Lardi
Ursula Lardi	Ursina Lardi	http://fr.dbpedia.org/resource/Ursina_Lardi	http://dbpedia.org/resource/Ursina_Lardi
Uwe Kamps	Uwe Kamps	http://fr.dbpedia.org/resource/Uwe_Kamps	http://dbpedia.org/resource/Uwe_Kamps
Ulises Estrella	Ulises Estrella	http://fr.dbpedia.org/resource/Ulises_Estrella	http://dbpedia.org/resource/Ulises_Estrella
Uli Stielike	Uli Stielike	http://fr.dbpedia.org/resource/Uli_Stielike	http://dbpedia.org/resource/Uli_Stielike
Ulrich Stielike	Uli Stielike	http://fr.dbpedia.org/resource/Uli_Stielike	http://dbpedia.org/resource/Uli_Stielike
Ugo Agostoni	Ugo Agostoni	http://fr.dbpedia.org/resource/Ugo_Agostoni	http://dbpedia.org/resource/Ugo_Agostoni
Ugo Agostini	Ugo Agostoni	http://fr.dbpedia.org/resource/Ugo_Agostoni	http://dbpedia.org/resource/Ugo_Agostoni
